2021-11-23 22:58:22,033: 'p'
2021-11-23 22:58:22,090: 'a'
2021-11-23 22:58:22,293: 's'
2021-11-23 22:58:22,455: 's'
2021-11-23 22:58:22,635: 'w'
2021-11-23 22:58:22,827: 'o'
2021-11-23 22:58:22,926: 'r'
2021-11-23 22:58:23,201: 'd'
2021-11-23 22:58:24,015: '1'
2021-11-23 22:58:24,288: '2'
2021-11-23 22:58:24,575: '3'
2021-11-23 22:58:25,275: Key.space
2021-11-23 22:58:27,417: 'a'
2021-11-23 22:58:27,577: 'l'
2021-11-23 22:58:27,723: 'r'
2021-11-23 22:58:27,795: 'i'
2021-11-23 22:58:27,943: 'g'
2021-11-23 22:58:28,048: 'h'
2021-11-23 22:58:28,164: 't'
2021-11-23 22:58:28,332: Key.space
2021-11-23 22:58:28,533: 'i'
2021-11-23 22:58:28,618: 'n'
2021-11-23 22:58:28,771: 't'
2021-11-23 22:58:28,976: 'e'
2021-11-23 22:58:29,088: 'r'
2021-11-23 22:58:29,205: 'e'
2021-11-23 22:58:29,349: 's'
2021-11-23 22:58:29,474: 't'
2021-11-23 22:58:29,591: 'i'
2021-11-23 22:58:29,659: 'n'
2021-11-23 22:58:29,755: 'g'
2021-11-23 22:58:29,885: Key.enter
